,importance
pay_0,17.24128363111591
limit_bal,9.158136284830878
bill_amt1,8.354906136205413
pay_amt2,5.300491689840329
pay_amt3,5.12209178455395
bill_amt2,4.365626784228311
education,4.110490172146189
pay_amt6,3.9140147138022985
pay_amt1,3.839953202338629
pay_amt4,3.671358760240202
bill_amt5,3.387725020388104
bill_amt6,3.2702670835942964
age,3.2623411774522175
bill_amt4,3.161319030867906
bill_amt3,3.1437826910313103
pay_amt5,3.086669667056464
pay_3,2.99823352903596
pay_4,2.5433349548680244
pay_2,2.493478911562741
pay_6,2.1354524399855315
marriage,1.9295482471963987
sex,1.9004611620786305
pay_5,1.6090329255802962
